Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0071383~cellular response to steroid hormone stimulus	2	2.631578947368421	0.03227856907615731	O15118, P56941	24	2	1414	58.916666666666664	0.9902095960724048	0.9902095960724048	32.1330198874723
GOTERM_BP_DIRECT	GO:0071404~cellular response to low-density lipoprotein particle stimulus	2	2.631578947368421	0.03227856907615731	O15118, P56941	24	2	1414	58.916666666666664	0.9902095960724048	0.9902095960724048	32.1330198874723
GOTERM_BP_DIRECT	GO:0051923~sulfation	2	2.631578947368421	0.03227856907615731	O75897, Q95JD5	24	2	1414	58.916666666666664	0.9902095960724048	0.9902095960724048	32.1330198874723
GOTERM_BP_DIRECT	GO:2000189~positive regulation of cholesterol homeostasis	2	2.631578947368421	0.03227856907615731	O15118, P56941	24	2	1414	58.916666666666664	0.9902095960724048	0.9902095960724048	32.1330198874723
GOTERM_BP_DIRECT	GO:0031579~membrane raft organization	2	2.631578947368421	0.03227856907615731	O15118, P56941	24	2	1414	58.916666666666664	0.9902095960724048	0.9902095960724048	32.1330198874723
GOTERM_BP_DIRECT	GO:0008206~bile acid metabolic process	2	2.631578947368421	0.03227856907615731	O15118, P56941	24	2	1414	58.916666666666664	0.9902095960724048	0.9902095960724048	32.1330198874723
GOTERM_BP_DIRECT	GO:0007041~lysosomal transport	2	2.631578947368421	0.048041736860258005	O15118, P56941	24	3	1414	39.27777777777778	0.9990336709798897	0.9689141668905229	44.101823188801234
GOTERM_BP_DIRECT	GO:0016242~negative regulation of macroautophagy	2	2.631578947368421	0.048041736860258005	O15118, P56941	24	3	1414	39.27777777777778	0.9990336709798897	0.9689141668905229	44.101823188801234
GOTERM_BP_DIRECT	GO:0006891~intra-Golgi vesicle-mediated transport	2	2.631578947368421	0.048041736860258005	P53621, P35604	24	3	1414	39.27777777777778	0.9990336709798897	0.9689141668905229	44.101823188801234
GOTERM_BP_DIRECT	GO:0090150~establishment of protein localization to membrane	2	2.631578947368421	0.048041736860258005	O15118, P56941	24	3	1414	39.27777777777778	0.9990336709798897	0.9689141668905229	44.101823188801234
GOTERM_BP_DIRECT	GO:0042493~response to drug	3	3.9473684210526314	0.06053156310124267	P27641, O15118, P56941	24	25	1414	7.07	0.999849897016469	0.9468549147301469	52.17693143887197
GOTERM_BP_DIRECT	GO:0008203~cholesterol metabolic process	2	2.631578947368421	0.06355912881794833	O15118, P56941	24	4	1414	29.458333333333332	0.9999047794237136	0.901216888543501	53.96622922547165
GOTERM_BP_DIRECT	GO:0033344~cholesterol efflux	2	2.631578947368421	0.06355912881794833	O15118, P56941	24	4	1414	29.458333333333332	0.9999047794237136	0.901216888543501	53.96622922547165
GOTERM_BP_DIRECT	GO:0030301~cholesterol transport	2	2.631578947368421	0.06355912881794833	O15118, P56941	24	4	1414	29.458333333333332	0.9999047794237136	0.901216888543501	53.96622922547165
GOTERM_BP_DIRECT	GO:0007628~adult walking behavior	2	2.631578947368421	0.0788344054401548	O15118, P56941	24	5	1414	23.566666666666666	0.999990632646009	0.9012985832589138	62.095116874257705
GOTERM_BP_DIRECT	GO:0046718~viral entry into host cell	2	2.631578947368421	0.0788344054401548	O15118, P56941	24	5	1414	23.566666666666666	0.999990632646009	0.9012985832589138	62.095116874257705
GOTERM_BP_DIRECT	GO:0006890~retrograde vesicle-mediated transport, Golgi to ER	2	2.631578947368421	0.09387117525891676	P53621, P35604	24	6	1414	19.63888888888889	0.9999990800115544	0.9013802882494868	68.79290162402741
GOTERM_BP_DIRECT	GO:0042632~cholesterol homeostasis	2	2.631578947368421	0.09387117525891676	O15118, P56941	24	6	1414	19.63888888888889	0.9999990800115544	0.9013802882494868	68.79290162402741
