Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007283~spermatogenesis	10	3.0120481927710845	0.006935655361487765	Q5F3K4, Q1HE26, Q2IA00, Q5PQN1, Q13485, Q8K2K6, Q9R095, P13808, Q5SUV2, Q96N23	155	68	3013	2.858633776091082	0.9984331873083643	0.9984331873083643	10.319389278890178
GOTERM_BP_DIRECT	GO:2000617~positive regulation of histone H3-K9 acetylation	3	0.9036144578313252	0.007526824509612648	Q1HE26, Q864U1, Q13485	155	3	3013	19.438709677419357	0.9990983758697309	0.9699729433632079	11.151215126911529
GOTERM_BP_DIRECT	GO:0014033~neural crest cell differentiation	3	0.9036144578313252	0.007526824509612648	Q1HE26, Q13485, O75581	155	3	3013	19.438709677419357	0.9990983758697309	0.9699729433632079	11.151215126911529
GOTERM_BP_DIRECT	GO:0016567~protein ubiquitination	11	3.313253012048193	0.02014315943503181	O75382, O94889, E7F6F9, P21580, F1LZF0, Q6Q0C0, Q8C2S5, Q8IYU2, Q9Y4B6, A4IF63, Q5ZHZ4	155	94	3013	2.274742621825669	0.9999999937061037	0.9981536818973433	27.27190523123484
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	5	1.5060240963855422	0.023348257286826886	Q1HE26, P11881, Q13485, P14618, Q4PZA2	155	22	3013	4.4178885630498534	0.9999999996990677	0.9958349788735812	30.906853412132097
GOTERM_BP_DIRECT	GO:0072520~seminiferous tubule development	3	0.9036144578313252	0.023439180170717052	Q5F3K4, Q1HE26, Q13485	155	5	3013	11.663225806451614	0.999999999723976	0.9877484971059258	31.007445649879774
GOTERM_BP_DIRECT	GO:0001658~branching involved in ureteric bud morphogenesis	3	0.9036144578313252	0.03399022842681643	Q1HE26, Q13485, Q2PZL6	155	6	3013	9.719354838709679	0.9999999999999885	0.9952450967724575	41.793324724897104
GOTERM_BP_DIRECT	GO:0051571~positive regulation of histone H3-K4 methylation	3	0.9036144578313252	0.03399022842681643	Q1HE26, Q864U1, Q13485	155	6	3013	9.719354838709679	0.9999999999999885	0.9952450967724575	41.793324724897104
GOTERM_BP_DIRECT	GO:0000724~double-strand break repair via homologous recombination	4	1.2048192771084338	0.06955746747429975	Q5F3K4, Q864U1, O75417, Q9Y620	155	19	3013	4.092359932088285	1.0	0.9999293471738825	67.63939918103206
GOTERM_BP_DIRECT	GO:0048854~brain morphogenesis	3	0.9036144578313252	0.07377518797956734	Q2IA00, Q9BYB0, Q9R095	155	9	3013	6.479569892473118	1.0	0.9998622461779516	69.86033276429417
GOTERM_BP_DIRECT	GO:0036159~inner dynein arm assembly	3	0.9036144578313252	0.07377518797956734	E9Q8T7, B9EJR8, Q8WXX0	155	9	3013	6.479569892473118	1.0	0.9998622461779516	69.86033276429417
GOTERM_BP_DIRECT	GO:0046881~positive regulation of follicle-stimulating hormone secretion	2	0.6024096385542169	0.09962737830630444	Q1HE26, Q13485	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0061040~female gonad morphogenesis	2	0.6024096385542169	0.09962737830630444	Q1HE26, Q13485	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	2	0.6024096385542169	0.09962737830630444	P21580, Q864U1	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0034329~cell junction assembly	2	0.6024096385542169	0.09962737830630444	Q14315, P21333	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0072134~nephrogenic mesenchyme morphogenesis	2	0.6024096385542169	0.09962737830630444	Q1HE26, Q13485	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0050803~regulation of synapse structure or activity	2	0.6024096385542169	0.09962737830630444	Q7KRY7, P91621	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0006349~regulation of gene expression by genetic imprinting	2	0.6024096385542169	0.09962737830630444	Q5ZKH3, Q864U1	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0048702~embryonic neurocranium morphogenesis	2	0.6024096385542169	0.09962737830630444	Q2IA00, Q9R095	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0003251~positive regulation of cell proliferation involved in heart valve morphogenesis	2	0.6024096385542169	0.09962737830630444	Q1HE26, Q13485	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0060541~respiratory system development	2	0.6024096385542169	0.09962737830630444	Q2IA00, Q9R095	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0033686~positive regulation of luteinizing hormone secretion	2	0.6024096385542169	0.09962737830630444	Q1HE26, Q13485	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0003190~atrioventricular valve formation	2	0.6024096385542169	0.09962737830630444	Q1HE26, Q13485	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0048859~formation of anatomical boundary	2	0.6024096385542169	0.09962737830630444	Q1HE26, Q13485	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0060065~uterus development	2	0.6024096385542169	0.09962737830630444	Q1HE26, Q13485	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0006567~threonine catabolic process	2	0.6024096385542169	0.09962737830630444	Q83F39, Q74FW6	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0046959~habituation	2	0.6024096385542169	0.09962737830630444	O75912, Q9WV48	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0003198~epithelial to mesenchymal transition involved in endocardial cushion formation	2	0.6024096385542169	0.09962737830630444	Q1HE26, Q13485	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0035067~negative regulation of histone acetylation	2	0.6024096385542169	0.09962737830630444	Q01105, Q864U1	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
GOTERM_BP_DIRECT	GO:0060956~endocardial cell differentiation	2	0.6024096385542169	0.09962737830630444	Q1HE26, Q13485	155	2	3013	19.438709677419354	1.0	0.9999800275790057	80.64714026218721
